service,sample,warm_avg_ms,cold_ms,delta_ms
aurora,1,2390.678,4945.013,2554.335
aurora,2,444.004,194.557,-249.447
aurora,3,769.97,302.591,-467.379
aurora,4,186.851,171.517,-15.334
aurora,5,294.207,4765.954,4471.747
aurora,1,2229.059,5095.933,2866.875
aurora,2,208.352,401.096,192.744
aurora,3,213.211,4450.122,4236.911
aurora,4,225.467,8797.949,8572.482
aurora,5,256.802,8579.717,8322.915
ibm_postgres,1,577.878,2982.103,2404.225
ibm_postgres,2,235.935,2502.103,2266.169
ibm_postgres,3,467.493,3272.994,2805.501
ibm_postgres,4,368.262,2487.154,2118.892
ibm_postgres,5,234.316,235.394,1.078
mongo,1,713.033,4558.436,3845.403
mongo,2,454.289,6278.95,5824.661
mongo,3,210.973,6682.073,6471.1
mongo,4,218.668,6166.176,5947.508
mongo,5,171.515,6224.643,6053.129
mongo,1,819.99,6157.14,2537.45,3228.58
mongo,2,175.6,5996.66,2237.09,3750.39
mongo,3,299.09,6224.82,2477.78,3738.62
mongo,4,301.31,6361.53,2634.03,3718.44
mongo,5,328.98,6160.72,2391.04,3761.56
ibm,1,676.44,2846.36,2773.86,33.07
ibm,2,302.91,4671.99,4598.98,36.36
ibm,3,411.49,2770.49,2704.62,27.34
ibm,4,364.54,2825.38,2752.74,39.59
ibm,5,301.08,3272.96,3202.13,34.41
aurora,1,1174.12,8690.67,8666.0,21.64
aurora,2,345.9,8169.8,8155.57,10.63
aurora,3,210.53,8762.83,8748.15,11.52
aurora,4,312.77,8923.9,8918.03,3.41
aurora,5,189.82,8956.97,8949.81,3.6
neon,1,345.25,1607.72,1600.53,-1.43
neon,2,249.95,2767.22,2760.19,4.61
neon,3,162.47,2275.85,2253.18,20.75
neon,4,223.34,2445.19,2437.03,6.28
neon,5,160.22,2386.77,2366.87,17.23
neon,1,200.83,2535.84,2529.53,1.56
neon,2,262.15,2733.6,2713.64,18.15
neon,3,190.26,2204.08,2196.79,4.69
neon,4,164.09,2387.02,2378.97,5.69
neon,5,169.49,2416.01,2393.19,20.07
dynamo,1,229.46,554.16,253.52,263.87
dynamo,2,176.56,2508.97,2238.96,255.84
dynamo,3,247.66,1911.95,1648.9,248.57
dynamo,4,192.9,2206.58,1935.88,258.61
dynamo,5,178.43,1915.36,1637.78,268.05
