service,sample,warm_rtt,cold_rtt,init_overhead,db_wakeup
mongo,1,475.49,572.5,nan,97.0
mongo,2,489.32,531.11,nan,41.78
mongo,3,475.74,550.74,nan,75.0
mongo,4,467.1,554.06,nan,86.96
mongo,5,461.96,543.72,nan,81.75
ibm,1,332.62,285.37,nan,-47.26
ibm,2,351.5,393.51,nan,42.01
ibm,3,350.5,362.95,nan,12.45
ibm,4,343.2,321.88,nan,-21.32
ibm,5,334.7,358.25,nan,23.56
neon,1,259.96,904.97,nan,645.01
neon,2,260.69,922.85,nan,662.16
neon,3,260.82,940.94,nan,680.11
neon,4,254.98,901.61,nan,646.64
neon,5,265.9,992.93,nan,727.03
