Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777228347,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777228348,16,GET,point_read,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,239.43062499165535,239.43062499165535,239.43062499165535,239.43062499165535,104.0
1777228348,16,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,239.43062499165535,239.43062499165535,239.43062499165535,239.43062499165535,104.0
1777228349,16,GET,bulk_update_departures,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,1700,1767.3929164884612,1684.4108749646693,1850.374958012253,132.0
1777228349,16,GET,next_departures,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,0,1700,1688.9137762555038,1311.0558750340715,1784.4477499602363,109.375
1777228349,16,GET,point_read,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,5,0,1700,1414.4410417997278,239.43062499165535,1741.2015830050223,104.4
1777228349,16,,Aggregated,0.000000,0.000000,1700,1700,1800,1800,1800,1900,1900,1900,1900,1900,1900,15,0,1700,1607.8867501346394,239.43062499165535,1850.374958012253,110.73333333333333
1777228350,16,GET,bulk_update_departures,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,1700,1204.1788889910094,77.75083399610594,1850.374958012253,131.66666666666666
1777228350,16,GET,next_departures,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,16,0,190,901.5325236214267,71.94579200586304,1784.4477499602363,109.25
1777228350,16,GET,point_read,1.000000,0.000000,130,240,1700,1700,1700,1700,1700,1700,1700,1700,1700,13,0,130,610.5977500824688,76.60545804537833,1741.2015830050223,104.53846153846153
1777228350,16,,Aggregated,1.000000,0.000000,190,1700,1700,1700,1800,1800,1900,1900,1900,1900,1900,32,0,170,811.7133686246234,71.94579200586304,1850.374958012253,109.4375
1777228351,16,GET,bulk_update_departures,0.000000,0.000000,64,64,64,64,64,64,64,64,64,64,64,4,0,78,919.2197709926404,64.34241699753329,1850.374958012253,131.5
1777228351,16,GET,next_departures,0.000000,0.000000,80,94,98,130,190,190,190,190,190,190,190,21,0,130,705.221097281624,65.50279102521017,1784.4477499602363,109.14285714285714
