Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777142680,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777142681,5,,Aggregated,0.000000,0.000000,680,680,680,680,680,680,680,680,680,680,680,3,0,679.3286250031088,677.5437916609613,676.5198329812847,679.3286250031088,133.33333333333334
1777142682,10,,Aggregated,0.000000,0.000000,680,680,1700,1700,1700,1700,1700,1700,1700,1700,1700,4,0,680,944.2026354954578,676.5198329812847,1744.179166998947,412.5
1777142683,15,,Aggregated,0.000000,0.000000,680,680,1700,1900,2300,2300,2300,2300,2300,2300,2300,9,0,680,943.1918101133002,72.48737500049174,2291.3455410161987,42468.444444444445
1777142684,20,,Aggregated,0.000000,0.000000,680,1600,1700,1900,1900,2300,2300,2300,2300,2300,2300,13,0,680,939.5206441561011,68.87429099879228,2291.3455410161987,29613.53846153846
1777142685,25,,Aggregated,2.333333,0.000000,680,1500,1700,1900,2300,2300,2300,2300,2300,2300,2300,18,0,680,929.924303224349,54.937582986894995,2294.133542018244,21538.5
1777142686,30,,Aggregated,3.250000,0.000000,680,1700,1900,2300,2400,2400,2400,2400,2400,2400,2400,20,0,680,1074.4426687524538,54.937582986894995,2385.9636670094915,28940.45
1777142687,35,,Aggregated,3.400000,0.000000,1600,2100,2300,2400,5400,5600,5800,5800,5800,5800,5800,30,0,1500,1742.0079332349512,54.937582986894995,5750.043165986426,19456.633333333335
1777142688,35,,Aggregated,3.166667,0.000000,1600,2200,2400,4400,5200,5600,5800,5800,5800,5800,5800,36,0,1500,1866.325179306538,54.937582986894995,5750.043165986426,16236.305555555555
1777142689,35,,Aggregated,3.571429,0.000000,1500,2300,4400,4700,5100,5400,5800,5800,5800,5800,5800,45,0,1500,1932.5382971107804,54.937582986894995,5750.043165986426,13016.466666666667
1777142690,35,,Aggregated,4.125000,0.000000,680,2200,3700,4700,5100,5400,5600,5800,5800,5800,5800,53,0,680,1832.666066000216,54.937582986894995,5750.043165986426,11097.245283018869
1777142691,35,,Aggregated,4.444444,0.000000,1500,2400,4600,4700,5100,5400,5600,5800,5800,5800,5800,58,0,680,1989.6233979655742,54.937582986894995,5750.043165986426,10171.155172413793
1777142692,35,,Aggregated,5.100000,0.000000,1200,2300,4600,4700,5100,5400,5800,6200,6200,6200,6200,62,0,680,1984.857961016279,54.937582986894995,6185.445667011663,9553.758064516129
1777142693,35,,Aggregated,5.600000,0.000000,1200,2400,4700,4700,5200,5800,7400,11000,11000,11000,11000,66,0,680,2153.46108774203,54.937582986894995,11397.439207998104,9013.272727272728
1777142694,35,,Aggregated,5.800000,0.000000,680,2400,4700,4800,5400,6200,11000,11000,11000,11000,11000,69,0,680,2222.0341696954783,54.937582986894995,11397.439207998104,8645.492753623188
1777142695,35,,Aggregated,5.800000,0.000000,680,2400,4700,4800,5400,6200,11000,11000,11000,11000,11000,69,0,680,2222.0341696954783,54.937582986894995,11397.439207998104,8645.492753623188
1777142696,35,,Aggregated,5.700000,0.000000,1200,2400,4700,4800,5600,6200,11000,11000,11000,11000,11000,70,0,680,2270.15138691391,54.937582986894995,11397.439207998104,8536.785714285714
